"Plot Title: 20432185_TidbiTv2_LOGGER1"
"#","Date Time, GMT-07:00","Avg: Temperature, °C (LGR S/N: 20432185)","Coupler Detached (LGR S/N: 20432185)","Coupler Attached (LGR S/N: 20432185)","Stopped (LGR S/N: 20432185)","End Of File (LGR S/N: 20432185)"
161,03/12/19 10:04:00 AM,15.772,,,,
162,03/12/19 10:14:00 AM,15.796,,,,
163,03/12/19 10:24:00 AM,15.819,,,,
164,03/12/19 10:34:00 AM,15.796,,,,
165,03/12/19 10:44:00 AM,15.438,,,,
166,03/12/19 10:54:00 AM,15.342,,,,
167,03/12/19 11:04:00 AM,15.390,,,,
168,03/12/19 11:14:00 AM,15.485,,,,
169,03/12/19 11:24:00 AM,15.581,,,,
170,03/12/19 11:34:00 AM,15.700,,,,
171,03/12/19 11:44:00 AM,15.485,,,,
172,03/12/19 11:54:00 AM,15.390,,,,
173,03/12/19 12:04:00 PM,15.509,,,,
174,03/12/19 12:14:00 PM,15.390,,,,
175,03/12/19 12:24:00 PM,15.294,,,,
176,03/12/19 12:34:00 PM,15.366,,,,
177,03/12/19 12:44:00 PM,15.318,,,,
178,03/12/19 12:54:00 PM,15.151,,,,
179,03/12/19 01:04:00 PM,15.151,,,,
180,03/12/19 01:14:00 PM,15.294,,,,
181,03/12/19 01:24:00 PM,15.485,,,,
182,03/12/19 01:34:00 PM,15.318,,,,
183,03/12/19 01:44:00 PM,15.342,,,,
184,03/12/19 01:54:00 PM,15.294,,,,
185,03/12/19 02:04:00 PM,15.055,,,,
186,03/12/19 02:14:00 PM,15.294,,,,
187,03/12/19 02:24:00 PM,15.509,,,,
188,03/12/19 02:34:00 PM,15.390,,,,
189,03/12/19 02:44:00 PM,15.318,,,,
190,03/12/19 02:54:00 PM,15.223,,,,
191,03/12/19 03:04:00 PM,15.270,,,,
192,03/12/19 03:14:00 PM,15.055,,,,
193,03/12/19 03:24:00 PM,15.414,,,,
194,03/12/19 03:34:00 PM,15.748,,,,
195,03/12/19 03:44:00 PM,15.652,,,,
196,03/12/19 03:54:00 PM,15.390,,,,
197,03/12/19 04:04:00 PM,15.414,,,,
198,03/12/19 04:14:00 PM,15.390,,,,
199,03/12/19 04:24:00 PM,15.175,,,,
200,03/12/19 04:34:00 PM,15.199,,,,
201,03/12/19 04:44:00 PM,15.342,,,,
202,03/12/19 04:54:00 PM,15.509,,,,
203,03/12/19 05:04:00 PM,15.414,,,,
204,03/12/19 05:14:00 PM,15.223,,,,
