"Plot Title: 11-14MAR19_LightTempLogger_CH04"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20454915, SEN S/N: 20454915)","Intensity, lum/ft² (LGR S/N: 20454915, SEN S/N: 20454915)","Coupler Attached (LGR S/N: 20454915)","Coupler Detached (LGR S/N: 20454915)","Stopped (LGR S/N: 20454915)","End Of File (LGR S/N: 20454915)"
151,03/12/19 08:27:52 AM,15.378,0.0,,,,
152,03/12/19 08:37:52 AM,15.378,0.0,,,,
153,03/12/19 08:47:52 AM,15.378,0.0,,,,
154,03/12/19 08:57:52 AM,15.378,0.0,,,,
155,03/12/19 09:07:52 AM,15.378,0.0,,,,
156,03/12/19 09:17:52 AM,15.378,0.0,,,,
157,03/12/19 09:27:52 AM,15.187,0.0,,,,
158,03/12/19 09:37:52 AM,15.187,0.0,,,,
159,03/12/19 09:47:52 AM,15.282,0.0,,,,
160,03/12/19 09:57:52 AM,15.282,0.0,,,,
161,03/12/19 10:07:52 AM,15.378,0.0,,,,
162,03/12/19 10:17:52 AM,15.378,0.0,,,,
163,03/12/19 10:27:52 AM,15.378,0.0,,,,
164,03/12/19 10:37:52 AM,15.378,0.0,,,,
165,03/12/19 10:47:52 AM,15.378,0.0,,,,
166,03/12/19 10:57:52 AM,15.282,0.0,,,,
167,03/12/19 11:07:52 AM,15.378,0.0,,,,
168,03/12/19 11:17:52 AM,15.282,0.0,,,,
169,03/12/19 11:27:52 AM,15.378,0.0,,,,
170,03/12/19 11:37:52 AM,15.282,0.0,,,,
171,03/12/19 11:47:52 AM,15.187,0.0,,,,
172,03/12/19 11:57:52 AM,15.187,0.0,,,,
173,03/12/19 12:07:52 PM,15.282,0.0,,,,
174,03/12/19 12:17:52 PM,14.996,0.0,,,,
175,03/12/19 12:27:52 PM,14.996,0.0,,,,
176,03/12/19 12:37:52 PM,15.187,0.0,,,,
177,03/12/19 12:47:52 PM,15.187,0.0,,,,
178,03/12/19 12:57:52 PM,15.187,9.0,,,,
179,03/12/19 01:07:52 PM,15.187,0.0,,,,
180,03/12/19 01:17:52 PM,15.091,0.0,,,,
181,03/12/19 01:27:52 PM,15.091,0.0,,,,
182,03/12/19 01:37:52 PM,15.187,0.0,,,,
183,03/12/19 01:47:52 PM,15.091,0.0,,,,
184,03/12/19 01:57:52 PM,15.091,0.0,,,,
185,03/12/19 02:07:52 PM,15.091,0.0,,,,
186,03/12/19 02:17:52 PM,14.996,0.0,,,,
187,03/12/19 02:27:52 PM,15.091,0.0,,,,
188,03/12/19 02:37:52 PM,14.996,0.0,,,,
189,03/12/19 02:47:52 PM,15.091,0.0,,,,
190,03/12/19 02:57:52 PM,15.091,0.0,,,,
191,03/12/19 03:07:52 PM,14.996,0.0,,,,
192,03/12/19 03:17:52 PM,15.187,0.0,,,,
193,03/12/19 03:27:52 PM,15.187,0.0,,,,
194,03/12/19 03:37:52 PM,15.187,0.0,,,,
195,03/12/19 03:47:52 PM,15.187,0.0,,,,
196,03/12/19 03:57:52 PM,15.187,0.0,,,,
197,03/12/19 04:07:52 PM,15.091,0.0,,,,
198,03/12/19 04:17:52 PM,15.091,0.0,,,,
199,03/12/19 04:27:52 PM,15.187,0.0,,,,
200,03/12/19 04:37:52 PM,15.187,0.0,,,,
201,03/12/19 04:47:52 PM,15.091,0.0,,,,
202,03/12/19 04:57:52 PM,15.187,9.0,,,,
203,03/12/19 05:07:52 PM,15.282,0.0,,,,
204,03/12/19 05:17:52 PM,15.091,0.0,,,,
205,03/12/19 05:27:52 PM,15.187,0.0,,,,
206,03/12/19 05:37:52 PM,15.187,0.0,,,,
207,03/12/19 05:47:52 PM,15.091,0.0,,,,
208,03/12/19 05:57:52 PM,15.187,0.0,,,,
209,03/12/19 06:07:52 PM,15.091,0.0,,,,
210,03/12/19 06:17:52 PM,14.900,0.0,,,,
211,03/12/19 06:27:52 PM,15.091,0.0,,,,
212,03/12/19 06:37:52 PM,15.378,0.0,,,,
213,03/12/19 06:47:52 PM,15.091,0.0,,,,
214,03/12/19 06:57:52 PM,15.187,0.0,,,,
215,03/12/19 07:07:52 PM,15.187,0.0,,,,
216,03/12/19 07:17:52 PM,15.091,0.0,,,,
217,03/12/19 07:27:52 PM,15.187,0.0,,,,
218,03/12/19 07:37:52 PM,15.187,0.0,,,,
